,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
633,0.696,0.439,1,-8.77,0,0.055,0.0636,0.0,0.127,0.229,149.923,audio_features,2PgMUAn2bBpm8gz6yAXvVL,spotify:track:2PgMUAn2bBpm8gz6yAXvVL,https://api.spotify.com/v1/tracks/2PgMUAn2bBpm8gz6yAXvVL,https://api.spotify.com/v1/audio-analysis/2PgMUAn2bBpm8gz6yAXvVL,213320,4
634,0.654,0.959,7,-2.09,1,0.0928,0.15,0.0,0.288,0.729,159.968,audio_features,1gBn1DsjOMllcU0LYQFGEm,spotify:track:1gBn1DsjOMllcU0LYQFGEm,https://api.spotify.com/v1/tracks/1gBn1DsjOMllcU0LYQFGEm,https://api.spotify.com/v1/audio-analysis/1gBn1DsjOMllcU0LYQFGEm,223500,4
635,0.772,0.804,9,-6.284,1,0.0792,0.0192,8.59e-05,0.0817,0.561,126.038,audio_features,58HAiovKUb49qcPhx1Rftf,spotify:track:58HAiovKUb49qcPhx1Rftf,https://api.spotify.com/v1/tracks/58HAiovKUb49qcPhx1Rftf,https://api.spotify.com/v1/audio-analysis/58HAiovKUb49qcPhx1Rftf,153662,4
636,0.441,0.872,2,-4.168,1,0.0551,0.00365,0.0,0.0819,0.258,170.015,audio_features,2YZrjrLRMfGdyue73N6BLY,spotify:track:2YZrjrLRMfGdyue73N6BLY,https://api.spotify.com/v1/tracks/2YZrjrLRMfGdyue73N6BLY,https://api.spotify.com/v1/audio-analysis/2YZrjrLRMfGdyue73N6BLY,248166,4
637,0.859,0.734,1,-6.309,1,0.102,0.0652,0.0,0.314,0.571,142.037,audio_features,29Y1hEc0NSxvFylHFV8W9e,spotify:track:29Y1hEc0NSxvFylHFV8W9e,https://api.spotify.com/v1/tracks/29Y1hEc0NSxvFylHFV8W9e,https://api.spotify.com/v1/audio-analysis/29Y1hEc0NSxvFylHFV8W9e,192320,4
638,0.15,0.261,0,-12.588,1,0.0348,0.916,0.00305,0.0891,0.107,79.942,audio_features,0uJASgVP9AnPwAIgeWh34A,spotify:track:0uJASgVP9AnPwAIgeWh34A,https://api.spotify.com/v1/tracks/0uJASgVP9AnPwAIgeWh34A,https://api.spotify.com/v1/audio-analysis/0uJASgVP9AnPwAIgeWh34A,252067,3
639,0.926,0.766,2,-4.774,0,0.182,0.268,2.03e-06,0.074,0.741,139.958,audio_features,1p1A6CoVSy2GeYJaBdTUNr,spotify:track:1p1A6CoVSy2GeYJaBdTUNr,https://api.spotify.com/v1/tracks/1p1A6CoVSy2GeYJaBdTUNr,https://api.spotify.com/v1/audio-analysis/1p1A6CoVSy2GeYJaBdTUNr,175950,4
640,0.27,0.921,1,-4.919,0,0.068,0.000488,2.55e-06,0.105,0.223,150.064,audio_features,220XHFfltTe2o8wD0o5rtP,spotify:track:220XHFfltTe2o8wD0o5rtP,https://api.spotify.com/v1/tracks/220XHFfltTe2o8wD0o5rtP,https://api.spotify.com/v1/audio-analysis/220XHFfltTe2o8wD0o5rtP,229170,4
641,0.857,0.676,0,-5.973,1,0.0316,0.405,0.0,0.0951,0.747,132.011,audio_features,04elniHFWwwFHxi3SZlGI6,spotify:track:04elniHFWwwFHxi3SZlGI6,https://api.spotify.com/v1/tracks/04elniHFWwwFHxi3SZlGI6,https://api.spotify.com/v1/audio-analysis/04elniHFWwwFHxi3SZlGI6,216947,4
642,0.546,0.646,9,-5.564,1,0.0411,0.0104,1.15e-06,0.144,0.239,126.827,audio_features,2KPBSnz8n5lXYXkLauQXa9,spotify:track:2KPBSnz8n5lXYXkLauQXa9,https://api.spotify.com/v1/tracks/2KPBSnz8n5lXYXkLauQXa9,https://api.spotify.com/v1/audio-analysis/2KPBSnz8n5lXYXkLauQXa9,226513,4
