,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
760,0.766,0.272,0,-5.696,1,0.041,0.0366,0.0,0.175,0.037,116.036,audio_features,3jipFRgLyKK0oJoG1pKicx,spotify:track:3jipFRgLyKK0oJoG1pKicx,https://api.spotify.com/v1/tracks/3jipFRgLyKK0oJoG1pKicx,https://api.spotify.com/v1/audio-analysis/3jipFRgLyKK0oJoG1pKicx,262453,4
761,0.636,0.538,1,-7.725,1,0.312,0.738,0.0,0.149,0.514,83.508,audio_features,2QoOyCFpDo4NblMLP7vBRT,spotify:track:2QoOyCFpDo4NblMLP7vBRT,https://api.spotify.com/v1/tracks/2QoOyCFpDo4NblMLP7vBRT,https://api.spotify.com/v1/audio-analysis/2QoOyCFpDo4NblMLP7vBRT,226920,4
762,0.689,0.217,9,-13.539,0,0.0387,0.847,0.000123,0.106,0.272,92.007,audio_features,2RAeY8dPj6KmStROfEigjV,spotify:track:2RAeY8dPj6KmStROfEigjV,https://api.spotify.com/v1/tracks/2RAeY8dPj6KmStROfEigjV,https://api.spotify.com/v1/audio-analysis/2RAeY8dPj6KmStROfEigjV,206027,4
763,0.807,0.321,0,-8.147,0,0.0571,0.132,0.000289,0.1,0.305,94.994,audio_features,590bUp2TKTfTS9NfiD4Nmn,spotify:track:590bUp2TKTfTS9NfiD4Nmn,https://api.spotify.com/v1/tracks/590bUp2TKTfTS9NfiD4Nmn,https://api.spotify.com/v1/audio-analysis/590bUp2TKTfTS9NfiD4Nmn,182080,4
764,0.81,0.451,10,-6.348,0,0.249,0.152,0.0537,0.108,0.359,85.417,audio_features,0SVsEdvot6vU4byv5yW0oj,spotify:track:0SVsEdvot6vU4byv5yW0oj,https://api.spotify.com/v1/tracks/0SVsEdvot6vU4byv5yW0oj,https://api.spotify.com/v1/audio-analysis/0SVsEdvot6vU4byv5yW0oj,157600,4
765,0.65,0.429,2,-13.071,1,0.192,0.0386,0.0,0.139,0.333,141.855,audio_features,4IvenHmD0spfFDOKphoUDp,spotify:track:4IvenHmD0spfFDOKphoUDp,https://api.spotify.com/v1/tracks/4IvenHmD0spfFDOKphoUDp,https://api.spotify.com/v1/audio-analysis/4IvenHmD0spfFDOKphoUDp,289560,4
766,0.648,0.535,2,-13.295,1,0.1,0.458,0.00246,0.106,0.444,168.03,audio_features,16x6tqeSkIjoLEf7SJLlYy,spotify:track:16x6tqeSkIjoLEf7SJLlYy,https://api.spotify.com/v1/tracks/16x6tqeSkIjoLEf7SJLlYy,https://api.spotify.com/v1/audio-analysis/16x6tqeSkIjoLEf7SJLlYy,207307,4
767,0.561,0.779,10,-5.107,0,0.0531,0.0862,0.0,0.078,0.235,81.965,audio_features,0At2qAoaVjIwWNAqrscXli,spotify:track:0At2qAoaVjIwWNAqrscXli,https://api.spotify.com/v1/tracks/0At2qAoaVjIwWNAqrscXli,https://api.spotify.com/v1/audio-analysis/0At2qAoaVjIwWNAqrscXli,256064,4
768,0.705,0.784,2,-6.477,1,0.271,0.0133,0.0,0.168,0.377,160.035,audio_features,0E6PsO3ymCfUh7pJQjBgkj,spotify:track:0E6PsO3ymCfUh7pJQjBgkj,https://api.spotify.com/v1/tracks/0E6PsO3ymCfUh7pJQjBgkj,https://api.spotify.com/v1/audio-analysis/0E6PsO3ymCfUh7pJQjBgkj,264853,4
769,0.604,0.673,1,-5.979,1,0.0545,0.0268,3.32e-05,0.187,0.287,144.971,audio_features,7gkWXbAxIYuvtOpcN3p9GJ,spotify:track:7gkWXbAxIYuvtOpcN3p9GJ,https://api.spotify.com/v1/tracks/7gkWXbAxIYuvtOpcN3p9GJ,https://api.spotify.com/v1/audio-analysis/7gkWXbAxIYuvtOpcN3p9GJ,197573,4
770,0.76,0.579,0,-7.374,1,0.0569,0.0129,0.00351,0.106,0.125,100.01,audio_features,4j3GWI86JvSaF0BLdmgcfF,spotify:track:4j3GWI86JvSaF0BLdmgcfF,https://api.spotify.com/v1/tracks/4j3GWI86JvSaF0BLdmgcfF,https://api.spotify.com/v1/audio-analysis/4j3GWI86JvSaF0BLdmgcfF,213600,4
771,0.671,0.529,0,-7.226,1,0.307,0.0769,0.000335,0.0856,0.203,161.989,audio_features,0XySogm94T51XF5F2jumXm,spotify:track:0XySogm94T51XF5F2jumXm,https://api.spotify.com/v1/tracks/0XySogm94T51XF5F2jumXm,https://api.spotify.com/v1/audio-analysis/0XySogm94T51XF5F2jumXm,165820,4
772,0.586,0.909,8,-6.474,1,0.0705,0.0891,0.000109,0.119,0.757,93.394,audio_features,3CA9pLiwRIGtUBiMjbZmRw,spotify:track:3CA9pLiwRIGtUBiMjbZmRw,https://api.spotify.com/v1/tracks/3CA9pLiwRIGtUBiMjbZmRw,https://api.spotify.com/v1/audio-analysis/3CA9pLiwRIGtUBiMjbZmRw,210747,4
773,0.826,0.318,10,-12.391,1,0.0574,0.493,0.0131,0.11,0.138,103.002,audio_features,6G8kHiVZ1jW7vHMPVRNZU0,spotify:track:6G8kHiVZ1jW7vHMPVRNZU0,https://api.spotify.com/v1/tracks/6G8kHiVZ1jW7vHMPVRNZU0,https://api.spotify.com/v1/audio-analysis/6G8kHiVZ1jW7vHMPVRNZU0,245787,4
774,0.754,0.449,7,-9.211,1,0.109,0.0332,8.29e-05,0.552,0.357,77.169,audio_features,6DCZcSspjsKoFjzjrWoCdn,spotify:track:6DCZcSspjsKoFjzjrWoCdn,https://api.spotify.com/v1/tracks/6DCZcSspjsKoFjzjrWoCdn,https://api.spotify.com/v1/audio-analysis/6DCZcSspjsKoFjzjrWoCdn,198973,4
775,0.899,0.586,11,-7.866,0,0.344,0.279,0.0,0.0836,0.492,150.001,audio_features,3qN5qMTKyEEmiTZD38BNTT,spotify:track:3qN5qMTKyEEmiTZD38BNTT,https://api.spotify.com/v1/tracks/3qN5qMTKyEEmiTZD38BNTT,https://api.spotify.com/v1/audio-analysis/3qN5qMTKyEEmiTZD38BNTT,214467,4
776,0.514,0.693,9,-5.868,1,0.408,0.177,0.0,0.351,0.287,110.568,audio_features,3EApebexZ7YqDIqw2EMTDh,spotify:track:3EApebexZ7YqDIqw2EMTDh,https://api.spotify.com/v1/tracks/3EApebexZ7YqDIqw2EMTDh,https://api.spotify.com/v1/audio-analysis/3EApebexZ7YqDIqw2EMTDh,240640,3
777,0.755,0.575,4,-8.393,0,0.0678,0.0456,0.00124,0.276,0.49,85.987,audio_features,7rC5Pl8rQSX4myONQHYPBK,spotify:track:7rC5Pl8rQSX4myONQHYPBK,https://api.spotify.com/v1/tracks/7rC5Pl8rQSX4myONQHYPBK,https://api.spotify.com/v1/audio-analysis/7rC5Pl8rQSX4myONQHYPBK,205147,4
778,0.752,0.764,1,-4.399,1,0.038,0.0476,9.44e-05,0.0543,0.582,121.958,audio_features,43V1z6QToNNWNldV4FEG6r,spotify:track:43V1z6QToNNWNldV4FEG6r,https://api.spotify.com/v1/tracks/43V1z6QToNNWNldV4FEG6r,https://api.spotify.com/v1/audio-analysis/43V1z6QToNNWNldV4FEG6r,163216,4
779,0.742,0.579,0,-5.024,1,0.202,0.0381,0.0,0.0952,0.502,144.994,audio_features,3obgSF06ki98lYNLNq5vCB,spotify:track:3obgSF06ki98lYNLNq5vCB,https://api.spotify.com/v1/tracks/3obgSF06ki98lYNLNq5vCB,https://api.spotify.com/v1/audio-analysis/3obgSF06ki98lYNLNq5vCB,258475,4
780,0.428,0.403,5,-5.914,0,0.209,0.229,0.0,0.22,0.133,95.387,audio_features,7KZ5MMVgBVox9ycroB2UrI,spotify:track:7KZ5MMVgBVox9ycroB2UrI,https://api.spotify.com/v1/tracks/7KZ5MMVgBVox9ycroB2UrI,https://api.spotify.com/v1/audio-analysis/7KZ5MMVgBVox9ycroB2UrI,180183,5
781,0.785,0.554,0,-6.571,1,0.0409,0.283,3.4e-06,0.116,0.144,128.047,audio_features,7lAK3oHbfEnvUQWosrMMpR,spotify:track:7lAK3oHbfEnvUQWosrMMpR,https://api.spotify.com/v1/tracks/7lAK3oHbfEnvUQWosrMMpR,https://api.spotify.com/v1/audio-analysis/7lAK3oHbfEnvUQWosrMMpR,150043,4
782,0.607,0.609,0,-5.978,0,0.291,0.389,1.6e-05,0.111,0.556,74.946,audio_features,4SZepBIPDRwPaHIjAKwRDb,spotify:track:4SZepBIPDRwPaHIjAKwRDb,https://api.spotify.com/v1/tracks/4SZepBIPDRwPaHIjAKwRDb,https://api.spotify.com/v1/audio-analysis/4SZepBIPDRwPaHIjAKwRDb,185610,4
783,0.741,0.645,11,-5.116,0,0.0963,0.192,0.0,0.163,0.488,149.07,audio_features,20MuVazoNMv6xjKPnRFOxG,spotify:track:20MuVazoNMv6xjKPnRFOxG,https://api.spotify.com/v1/tracks/20MuVazoNMv6xjKPnRFOxG,https://api.spotify.com/v1/audio-analysis/20MuVazoNMv6xjKPnRFOxG,231964,4
784,0.731,0.811,1,-3.225,1,0.0712,0.0204,0.0,0.411,0.426,147.045,audio_features,6OaVWaGfhXn70ZJfdVcabn,spotify:track:6OaVWaGfhXn70ZJfdVcabn,https://api.spotify.com/v1/tracks/6OaVWaGfhXn70ZJfdVcabn,https://api.spotify.com/v1/audio-analysis/6OaVWaGfhXn70ZJfdVcabn,218284,4
785,0.588,0.567,4,-3.738,0,0.0628,0.221,0.0,0.135,0.113,150.009,audio_features,1xYpVRspgaLxdJLOTQkTjg,spotify:track:1xYpVRspgaLxdJLOTQkTjg,https://api.spotify.com/v1/tracks/1xYpVRspgaLxdJLOTQkTjg,https://api.spotify.com/v1/audio-analysis/1xYpVRspgaLxdJLOTQkTjg,338438,4
