,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
2366,0.883,0.668,9,-2.957,1,0.113,0.11,0.000529,0.0734,0.676,87.972,audio_features,7sQKy5vlPQllr0k9IjYJv3,spotify:track:7sQKy5vlPQllr0k9IjYJv3,https://api.spotify.com/v1/tracks/7sQKy5vlPQllr0k9IjYJv3,https://api.spotify.com/v1/audio-analysis/7sQKy5vlPQllr0k9IjYJv3,226533,4
2367,0.853,0.807,4,-4.492,1,0.251,0.0182,0.0,0.0567,0.774,130.006,audio_features,6BeujzT4yenTwQ9SF4aWCl,spotify:track:6BeujzT4yenTwQ9SF4aWCl,https://api.spotify.com/v1/tracks/6BeujzT4yenTwQ9SF4aWCl,https://api.spotify.com/v1/audio-analysis/6BeujzT4yenTwQ9SF4aWCl,187401,4
2368,0.766,0.64,0,-8.899,1,0.0345,0.051,0.0,0.237,0.67,100.044,audio_features,0qgZvYWLIqDn0tXimF8gPa,spotify:track:0qgZvYWLIqDn0tXimF8gPa,https://api.spotify.com/v1/tracks/0qgZvYWLIqDn0tXimF8gPa,https://api.spotify.com/v1/audio-analysis/0qgZvYWLIqDn0tXimF8gPa,165600,4
2369,0.666,0.408,1,-7.464,1,0.0393,0.404,0.00253,0.0316,0.475,92.01,audio_features,52rbzvOCmHgprzUaMqZEPK,spotify:track:52rbzvOCmHgprzUaMqZEPK,https://api.spotify.com/v1/tracks/52rbzvOCmHgprzUaMqZEPK,https://api.spotify.com/v1/audio-analysis/52rbzvOCmHgprzUaMqZEPK,161107,4
2370,0.579,0.222,2,-8.297,1,0.0341,0.636,0.0108,0.117,0.0535,120.027,audio_features,0v2tihTrm0j36SVJkLhzjC,spotify:track:0v2tihTrm0j36SVJkLhzjC,https://api.spotify.com/v1/tracks/0v2tihTrm0j36SVJkLhzjC,https://api.spotify.com/v1/audio-analysis/0v2tihTrm0j36SVJkLhzjC,304773,4
2371,0.79,0.728,7,-6.523,1,0.0612,0.025,0.00106,0.172,0.333,110.059,audio_features,1TIiWomS4i0Ikaf9EKdcLn,spotify:track:1TIiWomS4i0Ikaf9EKdcLn,https://api.spotify.com/v1/tracks/1TIiWomS4i0Ikaf9EKdcLn,https://api.spotify.com/v1/audio-analysis/1TIiWomS4i0Ikaf9EKdcLn,223795,4
2372,0.425,0.35,6,-10.951,0,0.312,0.606,1.31e-05,0.185,0.146,80.783,audio_features,5dgkSJAuFXZnwz7OAFUnIk,spotify:track:5dgkSJAuFXZnwz7OAFUnIk,https://api.spotify.com/v1/tracks/5dgkSJAuFXZnwz7OAFUnIk,https://api.spotify.com/v1/audio-analysis/5dgkSJAuFXZnwz7OAFUnIk,265883,4
2373,0.945,0.535,9,-6.181,1,0.401,0.192,0.0,0.323,0.65,107.01,audio_features,6rC06yWehxOD8mN7fxGNMb,spotify:track:6rC06yWehxOD8mN7fxGNMb,https://api.spotify.com/v1/tracks/6rC06yWehxOD8mN7fxGNMb,https://api.spotify.com/v1/audio-analysis/6rC06yWehxOD8mN7fxGNMb,152400,4
2374,0.456,0.752,11,-8.121,0,0.09,0.0095,0.00145,0.0573,0.897,183.569,audio_features,0fsz7tJ7UKXT9hliLfO7aE,spotify:track:0fsz7tJ7UKXT9hliLfO7aE,https://api.spotify.com/v1/tracks/0fsz7tJ7UKXT9hliLfO7aE,https://api.spotify.com/v1/audio-analysis/0fsz7tJ7UKXT9hliLfO7aE,179600,4
2375,0.494,0.572,0,-5.688,1,0.034,0.0137,3.25e-06,0.433,0.229,85.11,audio_features,3CvMXAVFGmfq56tvUAa9ip,spotify:track:3CvMXAVFGmfq56tvUAa9ip,https://api.spotify.com/v1/tracks/3CvMXAVFGmfq56tvUAa9ip,https://api.spotify.com/v1/audio-analysis/3CvMXAVFGmfq56tvUAa9ip,241849,4
2376,0.267,0.904,4,-8.549,0,0.109,0.00346,0.00265,0.319,0.454,147.379,audio_features,39T8TAYuJVKf8Nysb0T1do,spotify:track:39T8TAYuJVKf8Nysb0T1do,https://api.spotify.com/v1/tracks/39T8TAYuJVKf8Nysb0T1do,https://api.spotify.com/v1/audio-analysis/39T8TAYuJVKf8Nysb0T1do,300840,4
2377,0.463,0.746,4,-6.722,1,0.0383,0.000127,0.626,0.117,0.254,120.032,audio_features,2s8ofs8CeRdQyHKk0ORnWD,spotify:track:2s8ofs8CeRdQyHKk0ORnWD,https://api.spotify.com/v1/tracks/2s8ofs8CeRdQyHKk0ORnWD,https://api.spotify.com/v1/audio-analysis/2s8ofs8CeRdQyHKk0ORnWD,392600,4
2378,0.738,0.641,4,-3.44,1,0.0475,0.315,0.0,0.114,0.631,119.867,audio_features,4NPARrLIbtMl29ZJv8ESr2,spotify:track:4NPARrLIbtMl29ZJv8ESr2,https://api.spotify.com/v1/tracks/4NPARrLIbtMl29ZJv8ESr2,https://api.spotify.com/v1/audio-analysis/4NPARrLIbtMl29ZJv8ESr2,176099,4
2379,0.62,0.81,5,-6.594,1,0.039,0.432,0.0,0.0843,0.793,150.738,audio_features,5MbNAHqNksNDycMZ0WUaO5,spotify:track:5MbNAHqNksNDycMZ0WUaO5,https://api.spotify.com/v1/tracks/5MbNAHqNksNDycMZ0WUaO5,https://api.spotify.com/v1/audio-analysis/5MbNAHqNksNDycMZ0WUaO5,172400,4
2380,0.223,0.891,7,-4.918,1,0.133,8.6e-05,0.000422,0.107,0.558,170.6,audio_features,48gS3f9HDsXtlMBVdwvC2Z,spotify:track:48gS3f9HDsXtlMBVdwvC2Z,https://api.spotify.com/v1/tracks/48gS3f9HDsXtlMBVdwvC2Z,https://api.spotify.com/v1/audio-analysis/48gS3f9HDsXtlMBVdwvC2Z,233333,4
2381,0.651,0.865,1,-4.02,0,0.0418,0.00985,8.62e-05,0.0957,0.649,121.998,audio_features,6wR3zbFumY6hfNgN6xtrBI,spotify:track:6wR3zbFumY6hfNgN6xtrBI,https://api.spotify.com/v1/tracks/6wR3zbFumY6hfNgN6xtrBI,https://api.spotify.com/v1/audio-analysis/6wR3zbFumY6hfNgN6xtrBI,216393,4
2382,0.482,0.948,2,-4.497,1,0.0644,0.000248,0.039,0.139,0.478,93.492,audio_features,0eEVm4cr8eqWNjX9NfeCpc,spotify:track:0eEVm4cr8eqWNjX9NfeCpc,https://api.spotify.com/v1/tracks/0eEVm4cr8eqWNjX9NfeCpc,https://api.spotify.com/v1/audio-analysis/0eEVm4cr8eqWNjX9NfeCpc,150000,4
2383,0.829,0.763,11,-5.123,0,0.0488,0.0648,0.0,0.237,0.879,124.034,audio_features,7sasRSZNmUPaHXLWndC8oj,spotify:track:7sasRSZNmUPaHXLWndC8oj,https://api.spotify.com/v1/tracks/7sasRSZNmUPaHXLWndC8oj,https://api.spotify.com/v1/audio-analysis/7sasRSZNmUPaHXLWndC8oj,238974,4
2384,0.48,0.626,5,-8.406,1,0.0294,0.266,5.7e-05,0.0857,0.542,75.63,audio_features,3QcuZo6WLcFkqqLmDs0d95,spotify:track:3QcuZo6WLcFkqqLmDs0d95,https://api.spotify.com/v1/tracks/3QcuZo6WLcFkqqLmDs0d95,https://api.spotify.com/v1/audio-analysis/3QcuZo6WLcFkqqLmDs0d95,199907,4
2385,0.413,0.972,11,-4.84,1,0.092,1.48e-05,0.875,0.611,0.323,128.076,audio_features,6yvufTNEoh95nPcjjtbWXo,spotify:track:6yvufTNEoh95nPcjjtbWXo,https://api.spotify.com/v1/tracks/6yvufTNEoh95nPcjjtbWXo,https://api.spotify.com/v1/audio-analysis/6yvufTNEoh95nPcjjtbWXo,238630,4
2386,0.439,0.752,8,-4.143,1,0.0375,0.116,0.0,0.133,0.456,166.051,audio_features,6nqvInlnaMzEzaw4s0zbee,spotify:track:6nqvInlnaMzEzaw4s0zbee,https://api.spotify.com/v1/tracks/6nqvInlnaMzEzaw4s0zbee,https://api.spotify.com/v1/audio-analysis/6nqvInlnaMzEzaw4s0zbee,199907,4
