id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
5mXOdtyPOL6GEuZdCyHSsb,0.713,0.527,4,-7.512,1,0.0329,0.238,7.49e-06,0.111,0.445,123.006,239280,4
3hg8SvlMLkm2lT3HXvU6Lf,0.738,0.788,4,-5.318,0,0.0435,0.00764,0.0,0.355,0.307,155.078,185992,4
7e9VcJG50IUIpSMLkdralu,0.17,0.18,0,-8.141,1,0.0488,7.55e-05,0.988,0.157,0.0299,117.302,121187,1
6rcTyXe8W8kjQLyALBRj1v,0.636,0.433,10,-8.346,1,0.0614,0.536,0.0,0.123,0.234,75.02,217293,3
5RIVAc0J3PAsw4aqkzO7TM,0.902,0.627,1,-7.028,1,0.246,0.036,0.0,0.0795,0.397,141.999,229859,4
100eDEmpWV5YGVCqHI0leU,0.568,0.701,3,-4.566,0,0.0426,0.209,1.06e-06,0.0769,0.353,89.969,204093,4
7BuHdm4lQqcyG3qTwdkxus,0.8,0.74,10,-4.52,0,0.0479,0.184,0.0,0.0558,0.775,90.035,226200,4
6vzRrGER6V3z1oQbUSUlFW,0.573,0.828,2,-5.317,1,0.0269,0.00113,0.155,0.138,0.733,122.627,258933,4
0816B4MN0oYYK2kxvLcEcN,0.697,0.435,2,-7.79,0,0.0437,0.767,4.68e-06,0.0887,0.358,95.947,181875,4
6tSaMs79oJxK3VZ7QFgoTj,0.715,0.93,8,-3.925,1,0.108,0.00158,0.000318,0.0589,0.824,130.025,226162,4
6BDD5Ki9l2pWF1juW1RAsl,0.666,0.646,10,-6.918,0,0.82,0.232,0.0,0.0919,0.26,75.108,251013,4
4Is1b37KJY9XVCgzp81FBW,0.725,0.94,5,-2.32,0,0.0435,0.115,0.00431,0.0864,0.905,127.051,208475,4
1TEV1XrPtV617Y4Po50P5e,0.537,0.351,2,-8.937,1,0.0248,0.839,0.0,0.108,0.315,67.018,213500,4
75opBODhJblQgRVzd5XmyO,0.539,0.585,1,-7.679,1,0.177,0.022,0.052,0.0958,0.168,145.149,161244,4
7fRruZ12gXGwBs0zXQ6e5V,0.535,0.777,4,-3.292,1,0.207,0.0187,1.62e-06,0.136,0.664,171.72,215107,4
2Iov9mHNgKuL1oxePM2hZM,0.538,0.812,7,-5.776,1,0.0343,0.0193,4.33e-06,0.11,0.484,81.062,226693,4
5zmzse0TEG4GtlRrUBJOXK,0.683,0.442,9,-14.771,1,0.0415,0.773,0.536,0.127,0.14,105.624,256378,4
1wrT33b6HuKlpk9ziscEUY,0.641,0.796,2,-8.56,0,0.0407,0.0137,0.000115,0.358,0.727,123.229,283493,4
4c38yr2PflGI2DSIzqsnmF,0.476,0.983,1,-3.282,1,0.0687,0.00182,1.86e-05,0.294,0.723,120.022,166362,4
4M8x1TR36VMQMFMbGCdoyA,0.684,0.816,10,-5.211,0,0.0322,0.0181,0.0,0.0222,0.702,121.993,196215,4
0U6h6BIv3HKpkp3ZKH9wCk,0.665,0.789,10,-8.547,1,0.0955,0.254,0.000183,0.0908,0.448,178.052,200902,4
7Lr4XaxGpkAwa37IVgg22k,0.467,0.701,4,-4.997,1,0.0302,0.191,0.0,0.0769,0.28,132.041,214219,3
1QsXOnBUiREtGixFfdLTOf,0.521,0.669,8,-4.691,1,0.0264,0.107,0.0,0.178,0.281,94.057,238600,4
6VRRu9NewkmX12BMCvCJQ1,0.653,0.689,11,-8.338,0,0.0881,0.0255,0.0387,0.0937,0.253,150.954,194000,4
1dtTRXifeGC51adYy0902s,0.861,0.82,1,-4.807,0,0.0728,0.032,4.76e-06,0.0706,0.781,118.04,187571,4
5m7on0zpnmeAXy72ANrmfU,0.504,0.957,0,-2.657,1,0.0529,0.00298,0.0,0.187,0.676,135.013,205627,4
1YqPDOmooQQIXsRSdbRrwI,0.667,0.536,0,-6.54,1,0.0623,0.243,0.0,0.566,0.693,82.964,184533,4
1zZ7vl1amOLI4GE5oUn0YB,0.707,0.36,0,-8.89,0,0.0499,0.737,6.97e-05,0.0977,0.358,80.055,182657,4
32lm3769IRfcnrQV11LO4E,0.723,0.777,7,-3.503,1,0.108,0.0426,3.68e-06,0.0451,0.961,91.017,243413,4
43NB9HjHYL8OKohL4xrwJX,0.675,0.857,0,-5.436,0,0.055,0.194,7.73e-06,0.131,0.772,92.064,220435,4
5dmPNuHmRRJuHmJTDa7NuJ,0.739,0.471,8,-8.456,1,0.0436,0.0661,9.78e-05,0.116,0.31,90.002,194400,4
6iaQi9uPzHoXLMo5g490Bj,0.624,0.941,7,-4.894,1,0.0527,0.0661,0.0,0.113,0.56,105.02,221427,4
5KO83leMdhnByOakB3IA7l,0.415,0.86,6,-3.452,1,0.0481,0.00816,0.0126,0.0997,0.0879,159.937,374464,4
0QkHADzujvvnTMTbmxDzXv,0.23,0.945,3,-2.468,1,0.133,0.000231,1.25e-06,0.427,0.34,136.553,143117,4
0GyUjz44OaNEW4EHcstoAR,0.726,0.838,3,-4.609,1,0.0328,0.475,0.0,0.0599,0.882,137.977,232960,4
7seSDB6TiLZarbicyDIjiQ,0.675,0.681,5,-5.728,0,0.0356,0.312,0.0,0.304,0.675,106.521,271613,4
1hWYT0w2R0J19rlVkiez7X,0.517,0.811,5,-4.526,0,0.286,0.186,0.0,0.105,0.494,168.269,250320,4
4as4XEOR03oGm1STUKl6pa,0.839,0.617,7,-4.692,1,0.331,0.241,0.0,0.3,0.821,143.894,194426,4
3BPoSr2pO34Aan6alFfVto,0.785,0.744,3,-4.249,0,0.0369,0.0149,0.00666,0.0661,0.833,126.018,208863,4
6ceKChoZYLdw24Ph1CDFUJ,0.715,0.862,10,-2.718,0,0.0444,0.0113,0.0,0.108,0.668,137.93,197800,4
0xOlVRUewjWRZqyYFdOr7W,0.664,0.116,5,-17.59,0,0.0317,0.255,0.794,0.155,0.125,77.061,130179,4
2mVFo8BJ6ZPh82QAOpCUbT,0.547,0.944,4,-3.304,0,0.0507,4.81e-05,0.0451,0.195,0.364,93.966,203274,4
18UsAG7SfOQ5sxJEdjAMH0,0.572,0.155,6,-14.405,1,0.0344,0.835,0.000137,0.0906,0.0949,109.923,256689,3
6Yk4HTvs1Ww41l4c7iyBlH,0.625,0.864,1,-3.942,0,0.041,0.00349,2.2e-05,0.131,0.115,123.022,191000,4
5rWmqRULJjFTHiA3thJ5XF,0.824,0.512,11,-10.834,0,0.0662,0.0243,0.147,0.0673,0.596,121.317,329450,4
2bQhVQbV7VBzSOPo8mbkUR,0.4,0.838,0,-4.491,1,0.0526,0.174,0.0,0.341,0.533,179.945,206120,4
1VuBmEauSZywQVtqbxNqka,0.539,0.926,2,-6.495,1,0.0499,0.014,0.00136,0.36,0.454,136.279,246400,4
